year,district,DEMOCRAT,REPUBLICAN,totalvotes,REPpercent,DEMpercent,electedREP
2012,14,109697.0,131460.0,241157.0,54.51220574148791,45.48779425851209,True
2012,18,146223.0,44015.0,190238.0,23.136807577876134,76.86319242212386,False
2012,26,74237.0,176642.0,250879.0,70.40924110826334,29.590758891736655,True
2012,27,83395.0,120684.0,204079.0,59.13592285340481,40.86407714659519,True
2012,31,82977.0,145348.0,228325.0,63.65838169276251,36.34161830723749,True
2012,32,99288.0,146653.0,245941.0,59.629341996657736,40.370658003342264,True
2012,35,105626.0,52894.0,158520.0,33.36739843552864,66.63260156447136,False
2012,8,51051.0,194043.0,245094.0,79.17084873558716,20.829151264412836,True
2014,14,52545.0,90116.0,142661.0,63.1679295672959,36.8320704327041,True
2014,18,76097.0,26249.0,102346.0,25.647314013249176,74.35268598675083,False
2014,27,44152.0,83342.0,127494.0,65.36935071454343,34.63064928545657,True
2014,31,45715.0,91607.0,137322.0,66.70963137734667,33.290368622653325,True
2014,32,55325.0,96495.0,151820.0,63.55881965485443,36.44118034514557,True
2014,35,60124.0,32040.0,92164.0,34.7641161407925,65.2358838592075,False
2016,14,99054.0,160631.0,259685.0,61.85609488418661,38.14390511581339,True
2016,18,150157.0,48306.0,198463.0,24.34005330968493,75.65994669031507,False
2016,26,94507.0,211730.0,306237.0,69.13926142170934,30.860738578290672,True
2016,27,88329.0,142251.0,230580.0,61.692688004163415,38.307311995836585,True
2016,3,109420.0,193684.0,303104.0,63.900179476351354,36.099820523648646,True
2016,31,103852.0,166060.0,269912.0,61.52375589080886,38.47624410919114,True
2016,35,124612.0,62384.0,186996.0,33.36114141478962,66.63885858521039,False
2018,14,92212.0,138942.0,231154.0,60.107979961411004,39.892020038588996,True
2018,18,138704.0,38368.0,177072.0,21.668022047528687,78.3319779524713,False
2018,26,121938.0,185551.0,307489.0,60.34394726315413,39.65605273684587,True
2018,27,75929.0,125118.0,201047.0,62.23320915009923,37.76679084990077,True
2018,3,138234.0,169520.0,307754.0,55.082955867348595,44.917044132651405,True
2018,31,136362.0,144680.0,281042.0,51.47984998683471,48.52015001316529,True
2018,32,144067.0,126101.0,270168.0,46.67503183204525,53.32496816795475,False
2018,35,138278.0,50553.0,188831.0,26.77155763619321,73.22844236380679,False
2018,8,67930.0,200619.0,268549.0,74.70480247552588,25.29519752447412,True
